ID,Title,URL,Authors,Venue,Venue Acronym,Venue Type,Year
513,Development and Application of Metrics for Evaluation of Cumulative Energy Efficiency for IT Devices in Data Centers,https://link.springer.com/chapter/10.1007/978-3-662-57886-5_17,"F Peñaherrera, K Szczepaniak",Springer,Springer,C,2019
514,Communication-Aware and Energy Saving Virtual Machine Allocation Algorithm in Data Center,https://ieeexplore.ieee.org/abstract/document/8855662/,"J Luo, X Fan, L Yin",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
515,Genetic algorithm-based tabu search for optimal energy-aware allocation of data center resources,https://link.springer.com/article/10.1007/s00500-020-05240-9,"R Chandran, SR Kumar, N Gayathri",Springer,Springer,J,2020
518,Prediction-based underutilized and destination host selection approaches for energy-efficient dynamic VM consolidation in data centers,https://link.springer.com/content/pdf/10.1007/s11227-020-03248-4.pdf,"K Haghshenas, S Mohammadi",Springer,Springer,J,2020
523,A novel host readiness factor for energy-efficient VM consolidation in cloud data centers,https://ieeexplore.ieee.org/abstract/document/8880271/,"S Ismaeel, A Miri, A Al-Khazraji",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
525,Smart deployment of virtual machines to reduce energy consumption of cloud computing based data centers using gray wolf optimizer,https://link.springer.com/chapter/10.1007/978-3-319-99972-2_13,"H Shahbazi, S Jamshidi-Nejad",Springer,Springer,C,2018
526,An ant colony system for energy-efficient dynamic virtual machine placement in data centers,https://www.sciencedirect.com/science/article/pii/S0957417418307498,"F Alharbi, YC Tian, M Tang, WZ Zhang, C Peng, M Fei",Elsevier,Elsevier,J,2019
527,Holistic energy and failure aware workload scheduling in Cloud datacenters,https://www.sciencedirect.com/science/article/pii/S0167739X17315650,"X Li, X Jiang, P Garraghan, Z Wu",Elsevier,Elsevier,J,2018
530,"EATSDCD: A green energy-aware scheduling algorithm for parallel task-based application using clustering, duplication and DVFS technique in cloud datacenters",https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs171927,"B Barzegar, H Motameni, A Movaghar",IOS Press Content Library,IOS Press,J,2019
532,Energy proportionality in near-threshold computing servers and cloud data centers: Consolidating or Not?,https://ieeexplore.ieee.org/abstract/document/8341994/,"A Pahlevan, YM Qureshi, M Zapater, A Bartolini, D Rossi, L Benini, D Atienza",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
537,Sharing with Live Migration Energy Optimization Scheduler for Cloud Computing Data Centers,https://www.mdpi.com/1999-5903/10/9/86,"S Alshathri, B Ghita, N Clarke",Multidisciplinary Digital Publishing Institute,MDPI,J,2018
538,Energy-Aware Multi-Objective Placement of Virtual Machines in Cloud Data Centers,https://dl.acm.org/doi/abs/10.1145/3239264.3239275,"HA Al-shehri, K Hamdi",Association for Computing Machinery,ACM,C,2018
540,A cloud data center virtual machine placement scheme based on energy optimization,https://ieeexplore.ieee.org/abstract/document/8644591/,"S Zhang, F Meng, Z Zhang",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
542,An adaptive heuristic for managing energy consumption and overloaded hosts in a cloud data center,https://link.springer.com/article/10.1007/s11276-018-1874-1,"R Yadav, W Zhang, K Li, C Liu, M Shafiq, NK Karn",Springer,Springer,J,2018
546,Distributed Energy Management for Multiple Data Centers with Renewable Resources and Energy Storages,https://ieeexplore.ieee.org/abstract/document/9234691/,"G Zhang, S Zhang, W Zhang, Z Shen, L Wang",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2020
548,An artificial neural network based approach for energy efficient task scheduling in cloud data centers,https://www.sciencedirect.com/science/article/pii/S2210537918302798,"M Sharma, R Garg",Elsevier,Elsevier,J,2020
549,CSL-driven and energy-efficient resource scheduling in cloud data center,https://link.springer.com/article/10.1007/s11227-019-03036-9,"H Li, Y Zhao, S Fang",Springer,Springer,J,2020
550,Evaluating the upper bound of energy cost saving by proactive data center management,https://ieeexplore.ieee.org/abstract/document/9069318/,"R Milocco, P Minet, E Renault, S Boumerdassi",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2020
551,A framework to optimize energy efficiency in data centers based on certified KPIs,https://www.mdpi.com/2227-7080/6/3/87,"V Gizli, J Marx Gómez",Multidisciplinary Digital Publishing Institute,MDPI,J,2018
557,An Energy-Efficient Allocation Technique for Distributing Resources in a Heterogeneous Data Center,https://ieeexplore.ieee.org/abstract/document/9079973/,"M Mursleen, Y Kothyari",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
561,An Energy Dynamic Control Algorithm Based on Reinforcement Learning for Data Centers,https://www.worldscientific.com/doi/abs/10.1142/S0218001419510091,"Y Xiang, J Yuan, R Luo, X Zhong, T Li",International Journal of Pattern Recognition and Artificial Intelligence,IJPRAI,J,2019
567,Data center network energy consumption minimization: a hierarchical FAT-tree approach,https://link.springer.com/article/10.1007/s41870-018-0258-1,"J Mishra, J Sheetlani, KHK Reddy",Springer,Springer,J,2018
570,GREEN GEOGRAPHICALLY LOAD BALANCING USING VIABILITY OF DISTRIBUTED DATA CENTERS'LOCAL CONDITION FOR ENERGY EFFICIENCY,https://www.sid.ir/en/seminar/ViewPaper.aspx?id=46963,"S TAHERI, M GOUDARZI",Scientific Information Database,SID,C,2019
571,ENEDI: Energy Saving in Datacenters,https://ieeexplore.ieee.org/abstract/document/8620159/,"A Tryfonos, A Andreou, N Loulloudes…",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
572,Thermal-aware hybrid workload management in a green datacenter towards renewable energy utilization,https://www.mdpi.com/1996-1073/12/8/1494,"Y Li, X Wang, P Luo, Q Pan",Multidisciplinary Digital Publishing Institute,MDPI,J,2019
573,Energy-efficient virtual content distribution network provisioning in cloud-based data centers,https://www.sciencedirect.com/science/article/pii/S0167739X1732099X,"D Liao, G Sun, G Yang, V Chang",Elsevier,Elsevier,J,2018
574,A virtualized data center energy‐saving mechanism based on switching operating mode of physical servers and reserving virtual machines,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.5785,"C Yin, J Liu, S Jin",Wiley Online Library,Wiley,J,2020
579,Energy-aware Fault-tolerant Scheduling Scheme based on Intelligent Prediction Model for Cloud Data Center,https://ieeexplore.ieee.org/abstract/document/8752123/,"A Marahatta, C Chi, F Zhang, Z Liu",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
580,Multilevel resource allocation for performance-aware energy-efficient cloud data centers,https://ieeexplore.ieee.org/abstract/document/8969751/,"FD Rossi, PSS de Souza, W dos Santos Marques, M da Silva Conterato, TC Ferreto, AF Lorenzon, MC Luizelli",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
584,Sampling Workloads with Dynamic Time Scale to Promote the Energy Efficiency of Datacenters,https://ieeexplore.ieee.org/abstract/document/9291589/,"C Hu, Y Zhou, R Ding",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2020
587,Interval graph multi-coloring-based resource reservation for energy-efficient containerized cloud data centers,https://link.springer.com/article/10.1007/s11227-020-03439-z?error=cookies_not_supported&error=cookies_not_supported&code=54c48cd0-8f25-4364-8710-c07ad1dcce69&code=526b045d-e4e9-4c95-9c3e-e8d6c55ffef4,"YS Patel, A Baheti, R Misra",Springer,Springer,J,2020
588,Modeling Energy Efficiency of Future Green Data centers,https://ieeexplore.ieee.org/abstract/document/9291049/,"T Bhattacharya, X Qin",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2020
590,A system of systems approach for data centers optimization and integration into smart energy grids,https://www.sciencedirect.com/science/article/pii/S0167739X17310129,"M Antal, C Pop, T Cioara, I Anghel, I Salomie…",Elsevier,Elsevier,J,2020
591,Improving big data centers energy efficiency: Traffic based model and method,https://link.springer.com/chapter/10.1007/978-3-030-00253-4_8,"G Kuchuk, A Kovalenko, IE Komari, A Svyrydov…",Springer,Springer,J,2019
592,Data Center Server Energy Consumption Optimization Algorithm,https://ieeexplore.ieee.org/abstract/document/8442890/,"I Stamatescu, S Ploix, I Făgărăşan…",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
595,An efficient energy-aware method for virtual machine placement in cloud data centers using the cultural algorithm,https://link.springer.com/article/10.1007/s11227-019-02909-3,"M Mohammadhosseini, AT Haghighat, E Mahdipour",Springer,Springer,J,2019
596,Datazero: Datacenter with zero emission and robust management using renewable energy,https://ieeexplore.ieee.org/abstract/document/8768369/,"JM Pierson, G Baudic, S Caux, B Celik, G Da Costa, L Grange, M Haddad, J Lecuivre, JM Nicod, L Phillipe. V Rehn-Sonigo, R Roche, G Rostirolla, A Sayah, P Stolf, MT Thi, C Varnier",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2019
599,Energy-Efficient Data Center Networks,https://ieeexplore.ieee.org/abstract/document/8548323/,"JA Manjate, M Hidell, P Sjödin",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
606,EcoVMbroker: energy-aware scheduling for multi-layer datacenters,https://dl.acm.org/doi/abs/10.1145/3167132.3167178,"R Fernandes, J Simão, L Veiga",Association for Computing Machinery,ACM,C,2018
607,Energy-Efficient Workflow Scheduling using Container based Virtualization in Software Defined Data Centers,https://ieeexplore.ieee.org/abstract/document/9057431/,"R Ranjan, I Thakur, GS Aujla, N Kumar, AY Zomaya",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2020
611,Energy-aware resource management framework for overbooked cloud data centers with SLA assurance,https://ieeexplore.ieee.org/abstract/document/8647884/,"S Alanazi, B Hamdaoui",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
612,Segment routing based energy aware routing for software defined data center,https://www.sciencedirect.com/science/article/pii/S1389041720300553,"B Balakiruthiga, P Deepalakshmi, SN Mohanty, D Gupta, PP Kuman, K Shankar",Elsevier,Elsevier,J,2020
615,Monte carlo based server consolidation for energy efficient cloud data centers,https://par.nsf.gov/biblio/10157200,"B Harris, N Altiparmak",Institute of Electrical and Electronics Engineers,IEEE,C,2019
616,A novel energy-aware resource management technique using joint VM and container consolidation approach for green computing in cloud data centers,https://www.sciencedirect.com/science/article/pii/S1569190X20300666,"N Gholipour, E Arianyan, R Buyya",Elsevier,Elsevier,J,2020
617,The Potential Influence of Workload Management Across Heterogeneous Server Systems on Datacenter Energy Use and Power Draw,https://ieeexplore.ieee.org/abstract/document/8612307/,"DH Harryvan, R Chamberlane, A SCionti, G Urlini, O Terzo",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
623,Energy efficient VM scheduling strategies for HPC workloads in cloud data centers,https://www.sciencedirect.com/science/article/pii/S2210537916301718,"AA Chandio, N Tziritas, MS Chandio, CZ Xu",Elsevier,Elsevier,J,2019
625,"An energy, performance efficient resource consolidation scheme for heterogeneous cloud datacenters",https://www.sciencedirect.com/science/article/pii/S1084804519303571,"AA Khan, M Zakarya, R Khan, IU Rahman…",Elsevier,Elsevier,J,2020
627,HIGA: Harmony-inspired genetic algorithm for rack-aware energy-efficient task scheduling in cloud data centers,https://www.sciencedirect.com/science/article/pii/S2215098618312023,"M Sharma, R Garg",Elsevier,Elsevier,J,2020
628,MULTI-LEVEL ATTRIBUTE-BASED MATCHING APPROACH TOWARDS ENERGY-EFFICIENT RESOURCE PROVISIONING IN CLOUD DATA CENTERS.,http://www.jatit.org/volumes/Vol96No2/22Vol96No2.pdf,"F ELIJORDE, S KIM, J LEE",Journal of Theoretical and Applied Information Technology,JATIT,J,2018
629,A green energy-efficient scheduler for cloud data centers,https://link.springer.com/article/10.1007/s10586-018-2028-z,"M Amoon, TEE Tobely",Springer,Springer,J,2019
631,Energy-Efficient Virtual Machine Replication for Data Centers,https://ieeexplore.ieee.org/abstract/document/8452029/,"O Raluca, P Florin",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
632,Profile-based power-aware workflow scheduling framework for energy-efficient data centers,https://www.sciencedirect.com/science/article/pii/S0167739X18318491,B Qureshi,Elsevier,Elsevier,J,2019
633,Performance-aware energy saving for data center networks,https://ieeexplore.ieee.org/abstract/document/8606104/,"M Al-Tarazi, JM Chang",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2019
646,Energy-aware dynamic virtual machine consolidation for cloud datacenters,https://ieeexplore.ieee.org/abstract/document/8308710/,"H Wang, H Tianfield",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2018
647,An energy-efficient strategy for virtual machine allocation over cloud data centers,https://link.springer.com/article/10.1007/s10922-019-09489-w,"X Qie, S Jin, W Yue",Springer,Springer,J,2019
650,Optimal energy-efficient policies for data centers through sensitivity-based optimization,https://link.springer.com/article/10.1007/s10626-019-00293-x,"JY Ma, L Xia, QL Li",Springer,Springer,J,2019
